undermining|assault
good humor|ill humor
sonant|unvoiced
pit|company
stator coil|rotor
suspend|appoint,brandish,inflict
sloping|horizontal,vertical
piy|comprise
terror|courage
fondle|worry,tease,annoy,ruffle,irritate,chafe
unconsciousness|sensibility,consciousness
indiscriminate|sorted,select,discerning,careful,discriminate
unmanned|manned
impugn|affirm,repel,face,declare,defend,approve,allege,confront,commend,state,propose,propound
tempt|coerce,necessitate
limbed|limbless
agape|incurious,indifferent,listless,lukewarm
unairworthy|airworthy
electricity)|electric
evil|holy,righteous,desirable,good,just,benefit,goodness
synchronal|asynchronous
uninterruptedly|again
absolve|accuse,charge,obligate,bind,impeach,blame,compel,enjoin,condemn,requite,convict,oblige
forthcoming|late
surface mail|air mail
seclusion|aperture
perplex|convince,clear,e-,simplify,enlighten
interment|exhumation,resurrection
rising|falling,fall,low
unclean|clean,pure
locate|locality
unclear|clear
prisoner|magistrate
acquittal|accusation,judgment,punish-,conviction
undcscrlptive|graphic
platyrrhinic|catarrhine,leptorrhine
juniority|majority
wailing|jubilant
motored|unmotorized
splayfoot|pigeon-toed
ill-behaved|polite
dryness|wetness
attending|inattention
unpack|pack
abstinent|self-indulgent,indulgent,sensual,intemperate,debauched,dissipated,drinker,epicurean,voluptuous,greedy,incontinent
front end|rear
follower|leader,teacher,manager,opponent,chieftain,forerunner,rival,antagonist,harbinger
pla|rehearse
ufjly|bonny
forfeit|gift,obtain,deserve,achievement,conquer,own,overcome,acquire,partake,earn,claim,attain,win
burning|cool,cold
out of hand|in hand
dispensableness|need
botch|plot,embroider,handle,trick
expatiate|condense,abbreviate,epitomize,contract,summarize
anoient|latter
interested|perfunctory,uninterested,listless,neutral
formerly|lately
verbosity|eloquence,terseness,brevity
forirord|diffident
immigrate|emigrate
jollification|monotony,weariness,tediousness,soberness,tedium
retarding|useful
unproductive|fertile,prolific,luckless,productive,profitable,rich,fruitful
perfumed|fetid
unintrusive|intrusive
confidential|patent,insidious,public,traitorous,treacherous,open
wickedness|godliness,righteousness,honor,piety,benevolence,virtue,religion,goodness
disinclination|inclination,attraction
thickly|thinly
recognize|encroach,expect,disavow,repudiate,overlook,disclaim,ignore,disown
abnormal|normal,usual,natural,common,typical,customary,ordinary,regular
disincentive|incentive,motivator
moonlit|moonless
reality|conceit,image,fancy,delusion,imposture,fiction,unreality,idea,fabrication,supposition,hollowness,falsehood,imagination,illusion,chimera,vision,myth,untruth,bubble,dream,pretense,hypothesis,vacuity,witchcraft
extricate|overwhelm,implicate,enchain,engage,entangle,impregnate,embroil,involution,cramp,compromise,embarrass,weave
brutality|fondness,pity,refinement,benevolence,mercy
creditor|debtor
endocentric|exocentric
imbiber|nondrinker
diligent|negligent,desultory,idle,vacant
sunrise|sunset
realism|unreality
objectionable|exemplary
prize|loss,disesteem,stigma,bubble,fine,failure,infamy,violate,disrespect,forfeiture,brand
marine|terrene,terrestrial,land,fresh-water
inalienable|alienable
routine|adventure,beggarly,enterprise,mean,poor,slavish,vile,royal,contemptible,servile
non-attendance|retinue,attendance
detestation|adoration
coolness|frenzy,heat,intensity,harvest,attachment,warmth,fever,amateur,passion
finitude|infiniteness
unproductivity|efficiency
putrid|fragrant,wholesome,fresh,clean,sweet,pure,healthful
escape|incur,encompass,suffer,meet,apprehension,confront,concussion,encounter
funny|grave,sad,dismal,tedious,serious,lamentable,mournful,lugubrious,funereal,dull
validate|vitiate,invalidate
receive|eject,give,usurp,teach,appointment,say farewell,send,fen
dynamical|undynamic
surplus|desideratum
correspondence|non-intercourse,incongruity,imbalance,discord,withdraioal,discrepancy,disagreement,conversation
decadent|vernal
unfocused|focused,focussed
unmusical|musical,melodious
fainting|healthy
blemished|perfect,unblemished
dabbler|diving duck
untanned|tanned
discontinuous|gradual,continuous
dissuasive|persuasive
inedible|edible
inexcusably|excusably,justifiably,forgivably,pardonably
fatty|nonfat,thin person
incite|deter,abash,encourage,reprove
mediocrity|excellence,superiority,distinction,individuality,brilliance,rarity
interpose|aloof,be,aside,retire,keep,clear,let,avoid,shun,stand,withdraw,hold
brutalize|institution,humanize
connive|inspect,behold
subsidence|heat,prevalence,commotion,tumult,outbreak,accession,insurrection,gust
inexcusable|excusable,pardonable
clerical|laical
realize|adumbrate,disappoint,expect,darling
sensible^|mad
encroach|refrain,protect,recognize,respect,observe
perish|be born
pastime|study,task,occupation,business,work,labor
insufficient|perfect,abundant,efficacious,sufficient,ample,excessive,enough,redundant
uncomfortable|comfy,easy
unstoppable|stoppable
intrinsic|added,extraneous,pretended,apparent,accidental,objective,external,adventitious,extrinsic,nominal,assumed,acquired,borrowed,outward
despondency|joy,hope
pro|amateur,anti
dissuasion|persuasion,instance,motive
centralisation|decentralization
antitype|type
vestige|misindieation,obliteration,effacement
unlikeliness|likelihood,likeliness
degauss|magnetise,magnetize
compatibility|incompatibility
curved|straight
turn out|go to bed,switch on,turn in
spiritism|worldliness
thicken|filter,thin
surroundings|essence
anything|naught
abranchial|branchiate
hand mower|power mower
minimal|maximum,maximal
distend|condense,contract,constrict,narrow,circumscribe
toith|counter
retired|horse,safe
nonruminant|ruminant
debarment|field
notwithstanding|although,also,because
steadiness|harvest,unsteadiness,amateur,vacillation
double-minded|simple
genius|senselessness,folly,obtuseness,inanity,stupidity,dulness,imbecility,attainment,buffoon,stolidity
mercilessness|pity,sympathy
bravery|cowardice,fear
fatso|thin person
inculpative|exculpatory
notorious|brilliant,suspected,reported,reputed,distinguished,eminent
unplanted|planted
desertion|redemption,adherence,cursory
technophile|technophobe
put|call,burn,prohibit,transfer,displace,change,raise,transpose,remove,withdraw
identified|anonymous
frugality|extravagance,gluttony,excess
counter-action|machination
tediousness|eloquence,jollification,brevity
unrhetorical|rhetorical
heritage|wages,merit,compensation,acquisition
veiled|broad,unveiled,naked
junior|senior,superior,advanced,more,older,elder
hyperthermy|hypothermia
lapse|inheritance,opportunity
quandary|alternative
latent|explicit,visible,manifest,afoot,exposed,active,conspicuous,obvious,maniac,developed,apparent
light|oppressive,formidable,laborious,quench,solid,shade,difficult,dim,lowering,onerous,heavy,sable,extinguish,massive,weighty,dark,serious,dull
impute|retract,justify,recall,clear,withdraw,acquit
indomitable|effortless,languid,feeble
profoundness|shallowness
muddle|filter
nonpartizan|partisan
ponderous|agile,air,giddy
bungler|workman,professor,adept,artist,adroit,master,proficient
uncomfortably|comfortably
indictment|significance,indifference,interest,importance,gravity,affection,eagerness,weight,ardor
cumbrous|handy
emigrate|immigrate
lawlessly|lawfully
deserter|disciple,devotee,bigot,adherent,ally,zealot,supporter,champion
unliandy|adroit
fill up|empty
ornament|finery,gaud,disfigurement,disgrace,detraction,bauble,brand
murmur|crash
muddy|limpid,lucid,glassy
destabilize|stabilise,stabilize
lately|or,in,past,future,formerly,remotely,distantly
atonalism|tonality
nonmodern|modern
ill luck|good luck
antiquity|futurity,modernity
preciseness|imprecision
foster|violate,betray,exterminate
organized|unorganized,elementary,simple,disorganized
faithless|constant,honest,true,conscientious,faithful
travel|remain,reside,settle,domicile,dwell,stay
impure|immaculate,holy,white,virtuous,mere,true,pure,clean
gregarious|ungregarious
pop off|be born
paper profit|paper loss
peevish|genial,good-natured,mild,gentle,good-humored,easy,complaisant
frontward|backward
unprovoking|provocative
synthesize|analyze,dissect
listen|call,slight,be,scorn,deaf,ignore,to,neglect
flatten|sharpen
postprandial|preprandial
destabilise|stabilise,stabilize
pessimistic|optimistic
unselfishly|selfishly
major|minor
circumlocution|succinctness,conciseness,directness,terseness,condensation,compactness,shortness,plainness,brevity,compression
epilogue|preface
vindictive|vindicate
spiritless|energetic,spirited,vivacious,sharp
interrupt|expedite,continue,prosecute,repeat
atonality|tonality
euphory|dysphoria
consider|conjecture,chance,guess,hazard,ignore
flatter|disparage,detract,kick,sneer
transeunt|immanent
unstratified|stratified
uncared-for|cared-for
tack|disassemble
extrusive|intrusive
disarm|gird,arm
liquified|unmelted
animosity|unanimity,harmony,friendship,alliance,attachment,congeniality,companionship,regard,sympathy,kindness,concord
absolutely|conditionally
drowse off|wake up
pertness|bashfulness,modesty,humility,demureness,diffidence,shyness
deserted|festive
gilled|abranchiate
acarpellous|carpellate
nadir|acme,climax,zenith,apex
altitude|descent,declivity,depth,abasement
request|decree,mandate,bidding,edict
substitution|bereavement
composure|heat,consternation,perturbation,fever,amateur,restlessness,ado,frenzy,perplexity,agony,distraction,excitability,alarm,wrath,impatience,trouble,gust
credentials|unlikely,untrustworthy,credible,unreliable,incredible,improbable
drunkenness|soberness
shodden|unshod
misleader|note
devolution|evolution
induced|spontaneous,essential
frighten|embolden,calm,ease,soothe,encourage,reassure,comfort
undrained|drained
nonsectarian|sectarian
eternity|date,duration,generation,period
festive|ascetic,dark,gloomy,solitary,deserted,funereal
clear|vague,blot,perplex,overcast,bounce,embezzle,occult,unclear,equivocal,hazy,dim,paint,lurid,thick,interpose,dark,block,blacken,abstruse,potential,convict,foggy,clutter,opaque,difficult,lowering,asperse,confound,ill-defined,cloudy,obstruct,stop,dawn,impute
upper-class|middle-class,lower-class
craven|valiant
of course|unnaturally
encounter|encompass,elude,escape
clean|dirty,unclean,filthy,machine,unfairly,putrid
spoliate|endow
praiseworthy|culpable,heinous
listed|unlisted
neither|either,both
nonechoic|echoic
allogamy|autogamy
uneasy|equable,glad,sedate,easy
denitrify|nitrify
innocent|culpable,guilty,blameworthy,knowing,immoral,criminal,naughty,baleful
repulse|proposal,brunt,take,beckon,attract,acceptation,accost,administer,impulse,draw,bewitch
hoarse|mellow,mellifluous,rich,melodious,sweet
debased|stupor,class
befittingly|unsuitably
conqueror|hostage
exculpatory|inculpatory
diligence|desultoriness,idleness,carelessness,inattention,neglect,inertness
noticeably|imperceptibly
rally|abash,daunt,brotherhood,droop,dismay,condole,wane,demobilize,discomfit
fictitious|actual,natural,subsidy,authentic,true,heal,historical,real,genuine,veritable
knowledge|r/n'sconception,unfamiliarity,ignorance,illiteracy,misunderstanding,inexperience,rudeness,misapprehension
excision|excrescence
intellect|insanity,soul,spirit,force,body,matter,mechanism,passion,lunacy
planar|cubic,linear
unlearned|learned,conditioned,intellectual,conversant
devised|intestate
avoidable|inevitable
loyal|seditious,disobedient,inconstant,factious,perfidious,untrue,unpatriotic,disaffected,rebellious,insurgent,disloyal,insubmissive,traitorous,unfaithful,mutinous,dastardly,lawless
gradualness|abruptness
pelt along|linger
cancellation|sanction
inculpation|justification
denotive|connotative
triviality|solemnity,weight,trial,moment
parentless|parented
supramundane|mundane
replenish|extinguish,macerate,exhaust,consume,exterminate,drain
unlikable|sympathetic
unwilling|gratuitous,willing,spontaneous,content
non-visibility|sight
leptorrhine|platyrrhine,catarrhine
bottle|broach
solidify|crush,evaporate,alter
interweave|unweave
rouse|calm,soothe
boorish|polite,polished,courtly,mannerly,civil,genteel,urbane,gracious,affable,smart
saccharine|bitter,sharp
one's|abscond
levigation|excrescence
joylessly|joyfully
innumerate|numerate
tail|head
lend oneself|defy
ungracefully|gracefully,graciously
noticeable|unobtrusive
monoclinous|diclinous
mutter|enunciate
legged|legless
cultivate|prevent,eradicate,abandon,stifle,fritter,discourage,blight,uproot,extirpate,neglect,blast
kvetch|cheer
matchless|mediocre,general,common,ordinary,commonplace,everyday
imaginative|imagination
lay claim|forfeit
thickness|thinness
inodorousness|flavor
leave out|include,attend to
modesty|immodesty,forioardness,loquacity,vanity,freedom,openness,price,sauciness,ostentation,haughtiness,assumption,boldness,insolence,indiscretion,impudence,confidence,-sufficiency,effrontery,egoism,assurance,abandon,arrogance,pride,pertness,self,frankness,bravado,selfconceit,presumption
absurd|sagacious,bational,reasonable,sound,consistent,lugubrious,substantial,logical,admissible,wise,reflective,sad,true,philosophical,sensible,rational
prior|backward,after
bibbed|bibless
incapability|capability,might,capableness
unweaned|weaned
talk|keep quiet
tall|low,short
vault|grovel,creep,crawl
venerate|slight,contemn,disregard,despise,disdain,abhor,dishonor,at,execrate,scorn,detest,scoff,spurn
dedicated|desecrated,undedicated
pop out|pop in
commonly|remarkably,seldom
turn off|switch on
insincerity|honesty,sincerity
ashore|embark,aboard
slowness|harvest,spirit,understanding,celerity,energy
blithely|unhappily
dissembling|hearty
revolting|winning
heterodoxy|orthodoxy
contradictory|compatible
take|drop,give,abstain,repulse,lose,disclaim,miss,feed,obviate,repel,refuse,abandon,reject,decline,spurn,surrender
obviate|entail,require,necessitate
accompany|discard,abandon,leave,quit,avoid,desert
perspicuous|vague,opaque,equivocal,hard
rigged|unrigged
biovular|identical
undecided|obstinate,stubborn,confident,certain,resolute
curable|incurable
unionized|ionized
assort|collect
platitude|wit
decertify|certify
factious|genial,sympathetic,agreeable,auxiliary,loyal,publicspirited,complaisant,harmonious,cooperative
introductory|conclusive,valedictory,final,supplemental,terminal,alienative
apiece|the,in,collectively,together,synthetically,aggregate
trifles|treasure
soft drug|hard drug
thraldom|liberty
reception|denial,dismissal,renunciation,assignment,valediction,disavowal,protest,repudiation,abandonment,rejection
vaunt|conceal,disparage,detract,decry,suppress,dissemble,repress
winged|wingless
indissoluble|soluble
darling|reinstate,effect,raise,creep,dash,erect,fulfil,crawl,realize
idiot|authority,sage,luminary,scholar
weak part|good part
unearned|earned
complimentary|flippant,defamatory,abusive,captious,disparaging,denunciatory
insomnia|hypersomnia
pious|impious,wicked
potted|unpotted
existing|late,nonexistent
moneyed|moneyless,indigent
prewar|postwar
tame|fierce,fiery,gaunt,splendid,untamed,magnificent,rich,enrage,wild,piquant,sharp
peculiar|normal,general,public,common,ordinary,universal
idiom|barbarism,solecism
prink|dress down
intolerant|indulgent,tolerant,large-minded,forbearing
unloving|loving,pond,motherly
unripened|ripe
injection|emission
encampment|incursion
executive|judicial
tape|erase
uncritically|critically
outlander|citizen
lacerate|fabricate
characterless|eventful,sharp
anticipated|sudden
whimsical|whereas
glazed|unglazed
quadrupedal|bipedal,biped
misconduct|negotiate,behave,comport,deportment,govern,management,perform,behavior,manage
uncultured|genteel
transmontane|cismontane
disallowance|sanction
protest|allow,bide,yet,approbation,agree,appeal,indorse,confession,assertion,bear,reception,creed,academy
unpublished|published
operative|medical,dormant,inoperative,fallow
disbelief|faith,hope,belief,credence,creed
detached|appurtenant,attached,adjacent
culprit|saint,pattern,hero,model,man,upright,example
untrustiness|trustiness
appease|disconcert,move,aggravate,eatcite,exasperate,provoke,enrage,inflame,incense
deity|mankind
insobriety|soberness
painted|unpainted
compactness|circumlocution,distribution
ununderstood|understood
conquered|victorious
condensed|discursive,prolix,lengthy
ignoramus|philosopher,savant,sage,jubilee,luminary,scholar
one-sided|multilateral,reversible
painlessly|sorely,painfully
tare|enough
hairlessness|hairiness
irrationally|rationally
sauciness|modesty
member|constitution,entirety,officer,association,whole,sum,body,community,aggregate,society,organization,nonmember,totality
innocence^|guilt
intrepid|fear-,timid,cautious
tart|kindly,genial,mellow,luscious,mild,poute,gentle,sweet
darjcen|illuminate
elimination|inclusion,preservation,conservation,approval,maze,retention,introduction
prise|disesteem,disrespect
allege|impugn,contradict,deny,refute,educe,quash,disprove,gainsay
health|weakness,disease,unwellness,malady,ailment,illness,mania
untraveled|traveled
positive|negative,neutral,position,passive,potential
prospect|adventure,retrospect
evening|matutinal
impolitely|courteously,politely
inoperable|operable
specialize|generalize,diversify
antemortem|postmortem
instance|reluctance,principle,statement,warning,rule,deprecation,dissuasion
consonant|vowel,counter
bottomless|bottomed
unambiguous|implicit,equivocal,ambiguous
dope off|wake up
laconic|garrulous,effusive,prolix,lengthy,inflated
bugbear|hobby
serve|defeat,obstruct,thwart,counteract,oppose,command,order,manage,retard,injure
receptive|unreceptive
insensibility|emotion,liveliness,sensibility,perspicacity,understanding,feeling
heterogeneous|homogeneous,identical,alike,uniform,similar,akin,congruous,same,like,suggestion,pure,accordant
drown|float
smile|weep,sneer
confused|clearheaded,luminous,distinct,maniac,lucid
sequestration|desegregation
backward|antecedent,quick,eager,previous,forward,ahead,willing,bright,prior,ready,prompt,officious,proficient
awestricken|unawed
selected|unselected
sophism|truth,maxim,axiom
clutter|unclutter
unshockable|shockable
pleasant|bad,unpleasant,harsh,unkind,repellent,biting,glum,austere,horrible,gloomy,mournful,piteous,painful,nasty,offensive,repulsive,arrogant,forbidding,difficult,ugly,disagreeable,dreary,rugged,ill-natured,repelling,hateful,ill-humored,grim
specialise|generalise,generalize,diversify
unsyllabic|syllabic
occur|occupy
convenient|awkicard,useless,superfluous,inconvenient,inopportune
task|pastime,diversion
life-fjiving|mortal
specialist|generalist
infer|conjecture,guess,anticipate,enunciate,state,assume,propound,prognosticate
nondrinker|drinker
to one ear|binaurally
slim down|gain
disenclose|fen
extensor|flexor
position|negative,disavowing,indirect,denying,positive,disclaiming
populous|desire,sparse
exhume|hide,bury,inter
patent|questionable,occult,dubious,ambiguous,abstruse,close,confidential
blanch|dye,blot,color,blacken,stain,darken
abundance|beggary,penury,deficiency,failure,scarcity,dearth,scantiness,poverty,rarity
plowed|unbroken,unplowed
accordant|discordant,opposite,counter,adverse,inconsistent,heterogeneous
delete|record,insert
sooty|white
persevering|desultory
speciality|weak point,classification
bottle-feed|bottlefeed
clayey|sandy,arenaceous
mysticism|perspicuity
agitate|allay,calm,determine,compose,solve,settle,quiet,pacify,smooth,/
insulator|conductor
experienced|inexperienced,young,unpracticed,strange^,haw
execution|motive,model,suspense
small letter|uppercase
brandish|suspend,arrest,stay
non-detection|apprehension
volition|foreordination,destiny,fate,predestination,coercion,force,necessity
complicate|digest,simplify
simplify|complicate,weave
self-contained|abroad
coming|late,ago,formation
armament|disarmament,disarming
aliquot part|aliquant
giddy|ponderous,slow,stationary,low,unelevated,thoughtful,wary,weighty,circumspect,earnest,steady
tardinets|celerity
solidity|porosity,hollowness,dilapidation
chastisement|propitiation
slip off|slip on
uplift|abase,depress
dependability|unreliability
unswept|swept
except|adduce,comprehend,include,embrace,comprise
tardiness|harvest,promptness,punctuality,expedition
superiority|mediocrity,low quality,inferiority
exceptionable|desirable,unobjectionable,exemplary
entitle|debar,disable,disqualify
outline|figure,form,field,subject,substance,ground,bulk,space,object
unheaded|headed
nominal|important,actual,true,serious,real,intrinsic,veritable,substantial,essential
excess|sobriety,destitution,need,inadequacy,dearth,want,scantiness,economy,shortcoming,girl,lack,defect,deficiency,frugality,failure,insufficiency,abstinence,poverty,temperance
unsuspected|suspected
invade|abandon,evacuate,relinquish,vacate
dogma|argument
bewilderment|perspicacity,enlightenment,selfpossession,calmness,discernment
leave off|include
ungrammatical|grammatical
nonpregnant|pregnant
democracy|realm,aristocracy
disobliged|grateful,indebted
sacrilege|oblation,devotion,piety,religion
operation|abeyance,principle,extinction,fruit,event,desuetude
adverse|lucky,compatible,friendly,amicable,propitious,favorable,ancillary,accordant,fortunate
movableness|immovability
obduracy|penitence,repentance
weigh on|lighten
ploughed|unplowed
mainly|slightly,subordinately,somewhat,secondarily,partially
hydrophobic|hydrophilic
carpeted|uncarpeted
provincial|cosmopolitan
unbreakable|breakable
admirable|nefarious,paltry,abhorrent,atrocious
collection|unit,partition
irreligion|religion
offshore|inshore,onshore
incommodious|commodious
longness|shortness
youthful|mature,decrepit,old,fullgrown,ripe,adult,ripened
rough|mannerly,cut,feminine,glossy,polished,horizontal,indulgent,tasteful,mellifluous,sleek,plain,flat,neat,bland,quiet,gentle,smooth,glassy,soft,tender,still,level,mild,balmy,zephyrlike,slippery,wrought,refined,paternal
preconception|sentiment
scheduled|unscheduled
father|mother
decisiveness|indecision
swept|unswept
purge|rehabilitate,keep down
nonconformance|etiquette
assistance|delay,impediment,encumbrance
unreserved|taciturn,reserved,furtive
eventless|eventful
devisor|inheritor
wonder|anticipation
guiltless|guilty
husbandly|wifely
akin|hostile,heterogeneous,alien,dissimilar,foreign
antedate|succeed,postdate,supervene,follow
accented|atonic,unstressed
madness|reason,sanity,calmness,rationality,soberness
again|once,uniformly,continuously,uninterruptedly
impassiveness|emotion,warmth
liven up|deaden
unemotional|emotional
vaporize|harden,consolidate,dip
employ|discard,unemployment,fire,dismiss,vacate,misuse,render
surcharge|undercharge
coerce|induce,tempt,permit,coax,urge,persuade
defuse|fuse
fancy up|dress down
thermic|nonthermal
reestablish|overwhelm
price|meekness,modesty,lowliness,-abasement,humility,pride,self,self-distrust
keyless|keyed
eduction|introduction
defensive|offensive
opportune|untimely,unseasonable,inopportune,infelicitous
dependent|principal,autocratic,independent,tody,main
compress|expand,decompress,inflate,dilate,diffuse
resilient|solid
cherish|extinguish,abandon,abolish,betray,exterminate,renounce
embezzlement|defrayment
upwind|windward,downwind
self-possessed|blank,nervous,boisterous
coicardice|manhood
imagination|unpoetical,prosaic,uninventive,fact,reality,unromantio,imaginative,unimaginative,literal,matter-of~,perception
propound|impugn,infer
resistance|assault,brunt,obedience,compliance,permission,aggression,velocity,axt
good person|bad person
douceur|wages
discrepancy|harmony,agreement,proportion,correspondence,sum
unassertive|assertive
pride|modesty,condescension,humility,price,grace
melanize|whiten
prolong|abbreviate,abate
inelegantly|elegantly
inhuman|tender,human
antiquated|stylish,new,modern,modish,fresh,recent,fashionable
disproportionately|proportionally
rearward|forward
fortuitously|unluckily
distress|console,happiness,prosperity,rejoice,delight
incautiously|carefully,cautiously
duncedom|erudition
magnanimity|meanness,paltriness,spleen,pettiness,spitefulness
nonexplosive|explosive
estivate|hibernate
splayfooted|pigeon-toed
uniform|fickle,erratic,unsymmetrical,multiform,aberrant,irregular,heterogeneous,inconsistent,versatile,varying,various,complex,variable,manifold,diverse,freakish,eccentric
bountiful|niggardly,selfish,extortionate,miserly,stingy,penurious,covetous
moreover|finally,lastly
scatter|engross,hoard,accumulate,amass,assemble,concentrate,congregate
collective|elementary,distributive
inspiriting|fearful,heavy
unmoral|immoral,moral
established|volatile
sympathize|bicker
multitude|oligarchy,paucity,individual,council,scarcity,scantiness,aristocracy,solitude
sweetness|acerbity,acrimony,ask,unpleasantness
nobleness|meanness
rhymeless|rhymed
non-competitor|candidate
damaged|undamaged
nod off|wake up
new-fashioned|old
dysphemistic|euphemistic
inadvisable|advisable,desirable
masterly|humble,rude,low,obedient,wrathful,compliant,bungling,clumsy
si/stem|miscellany
inhumed|unburied
unassigned|assigned
minority|generality,majority
errancy|inerrancy
unerring|fallible
stand firm|surrender
unedifying|edifying
bottom|head,side,r,top,surface,brow,acme,summit,height,apex,crown
warmhearted|coldhearted
kip down|get up,turn out
unastonishing|terrible
fixture|looseness,locomotion
disciple|leader,professor,teacher,rabbi,deserter,master
collision|divergence,harmony,unity,agreement,unison,amity,concert,coincidence,concord
autocratic|accountable,amenable,subordinate,responsible,liable,constitutional,dependent,menial
munificent|small,niggardly,saving,sparing,mean,sordid,close
arbiter|litigant,appellant,claimant,disputant
healed|haw
comfy|uncomfortable
take apart|assemble,synthesize
unlivable|livable
dislodgment|station,footing,situation
unresourceful|ingenious,sharp
dastardly|chivalrous,loyal,heroic,manly
self-restraint|outrage,anger
pick apart|praise
bosom|demeanor,surface,deportment,exterior,manner,expanse
caloric|nonthermal
subservience|mastery
nonstarter|achiever
arrival|going,departure
friendliness|feud,warfare
decipherably|illegibly
jealous|genial,indifferent,tmenvious,self-denying,liberal
holding|axt
heart-broken|cheerful,hopeful,trusting
nominee|constituent
enslave|repel,emancipate,alienate,disgust,free,manumit
blockhead|adept,philosopher,savant,schoolman,sage,luminary
unmurmuring|fretful
high-rise|low-rise
resources|destitution,indigence,bareness,want,exhaustion,inanition,poverty,drain,lack
subserviency|impudence
expensive|worthless,low,poor,economical,cheap
demolish|stake,rear,build,create,fabricate,construct,support
eremitic|cenobitic
blooming|waning,old,withered,get,unsightly,blasted,fading,deformed
heliocentric|geocentric
performance|defeat,abortion,failure,nonperformance,manner,omission,undoing
round|square
conferred|hereditary,paternal
comic|lugubrious
paternal|careless,filial,rough,won,harsh,conferred,acquired,maternal,motherly
disenthrall|enamor
unrest|best
accuracy|looseness,inaccuracy,incorrectness,fallacy,slovenliness,error,blunder,misconception,misstatement,mendacity
amiability|ill humor
ephemeral|everlasting,enduring,perennial,amaranthine,immortal,abiding,endless,perpetual,eternal,permanent,persistent,lasting,spy
overbearing|considerate
building|dismantlement,demolition,dilapidation,ruin
unofficious|meddlesome
smattering|science
quote|educe,di~,ignore,suppress,garble,dain,omit
thermal|nonthermal
scorn|condescend,admire,listen,venerate,veneration
nationalism|internationalism,multiculturalism
improbable|likely,natural,credentials,probable,apparent
execrable|eligible,respectable,desirable,laudable
immotility|motility
culpable|praiseworthy,innocent,blameless,laudable
by-andby|directly
internally|externally
jawless|jawed
appendix|preface
withered|blooming
raw|wrought,mature,cooked,ripe
submissive|obstinate,imperious,unyielding,refractory,proud,arrogant,disobedient,active,resistant,haughty,restive,domineering,rebellious,defiant,fierce,conceited,magazine,reluctant
improbably|credibly,probably,believably
gainsay|affirm,allege,avouch
undomestic|domestic
hurried|unhurried,leisurely
inactivation|activation
nonpolar|ionic
institute|abolish
encamp|decamp,retreat,charge,retire,march,advance
absoluteness|relation
southern|northern
convergent|divergent
artfulness|artlessness
necked|neckless
uninformative|informative
indiscernible|visible
rolling|horizontal
kindliness|enmity,malice,hostility
begrudge|wish
omnipotent|powerless,impotent,inefficient
nightly|haggard
talk into|talk out of
unwellness|wellness
repeatable|unrepeatable,unquotable
dexterous|awkward,clumsy
aspect|lineament,ask,heart
correctitude|improperness,impropriety
re-|invitation,restrain
fold up|unfold
well-defined|ill-defined
saint|culprit,hypocrite
mitigate|arouse,exaggerate
unrefined|courtly,exquisite,urbane,refined
laical|priestly,sacerdotal,ecclesiastic,legal,ministerial,theological,canonical,divine,clerical,sacred,professional
hypothermia|hyperthermia
unrelated|related,pertinent
leisurely|hurried,speedy,hasty,industrious,difficult,impetuous,<uid-
dissect|consolidate,compose,synthesize,article
shallow|profound,deep,astute,infinite,fathomless,immature,comprehensive,thick
frankness|deception,modesty,guile,hypocrisy,craft,artifice,pretense
anterograde|retrograde
collateral|lineal
disarrange|fix,arrange,lay,appoint
scout|environ
moved|still,unmoved,unaffected
odium|acceptableness,popularity,favorite,welcome
demise|inherit,birth,life
uncooperative|cooperative
disqitalif'f|enjoin
languor|intensity,liveliness,strength,lithesomencss,vigor,acceptation,action,velocity,freshness,energy
helper|opponent,enemy,adversary
nonremittal|payment
finish|halt,originate,undertake,initiation,beginning,repeat,start,begin,commencement
uxorial|husbandly
swift|loitering,lazy,sluggish,tardy,unready,lingering,inactive,slow,late,weighty,inexpeditious,delaying,sedate,reluctant,laggard,deliberate
flexion|extension
liquidate|owe
columned|noncolumned
unhearable|audible
inburst|eruption
basiscopic|acroscopic
derecognise|certify
finite|measureless,infinite,unlimited,endless,unbounded,immature
unbelief|faith,belief,religion
re~|with,appetite
unpopular|popular
commendable|abandoned
benevolent|nefarious,mercenary,narrative,shrewd,wicked
helpless|formidable,skilful
upheave|settle
therefore|as,inasmuch,for,because,since
contiguous|remote
go wrong|succeed
nourishment|starvation,venom,poison,bane,exhaustion
trust|mistrust,pear,distrust,despair
flush it|pass
machine wash|handwash
flexile|inflexible
trut\|legend
disinfect|taint,envenom,defile,infect
scarecrow|hobby
prevent|allow,move,entail,compel,empower,urge,promote,induce,encourage,assist,cultivate,effectuate,let,evoke
appended|preliminary
sorry|unregretful,happy,glad
co-partnership|competition
irresponsible|amenable,liable,responsible,answerable
disqualification|franchise,'quality,ability
molecular|molar
expatriate|repatriate
hereness|thereness
incapable|accomplished,able,potent,sufficient,capable
estrange|reconcile,accustom,entail,enchant,draw,ingratiate,enamor,endear
isotropy|anisotropy
to both ears|monaurally
philippic|panegyric
ghastly|farcical,get
judicious|rash,instinctive,blind,imprudent,silly,ill-judged,impolitic,inexpedient,foolish,indiscreet,preposterous,extreme
unshod|calced,shod
message|interception,silence,non-communication,neglect
misogyny|philogyny
modify|heighten,exaggerate,imitate
